"id","original_text","text","date","user","sentiment_score","polarity","intensity","dominant_emotion","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","is_sarcasm","sarcasm_confidence","topic","topic_probability"
18,"my pinky toe has been broken for months i should be concerned","my pinky toe has been broken for months i should be concerned",2009-04-06,"Cryyyystal",-1,"Negative","Mild Negative","Fear",1,0,0,2,0,2,0,0,FALSE,0,5,0.226415094339623
19,"cause they're really high and fluffy on the inside","cause they're really high and fluffy on the inside",2009-04-06,"liswebnet",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.218181818181818
20,"just added tweetie to my new iphone","just added tweetie to my new iphone",2009-04-06,"misstoriblack",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.218181818181818
21,"another day in work and life is it a pigeon day today ? or a statue day ? or neither? hoping for calm neither day i think","another day in work and life is it a pigeon day today ? or a statue day ? or neither? hoping for calm neither day i think",2009-04-07,"NeilFairburn",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.265625
22,"uh oh i think i am getting sick","uh oh i think i am getting sick",2009-04-06,"xll00llx",0,"Neutral","Neutral","Disgust",0,0,1,0,0,1,0,0,FALSE,0,1,0.226415094339623
23,"wow i didn't get an quot hello quot u suck","wow i didn't get an quot hello quot u suck",2009-04-06,"ConstanceClark",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.245614035087719
24,"lol wish they understood daylight savings has ended though and breakfast is an hour later they keep waking the kids up too","lol wish they understood daylight savings has ended though and breakfast is an hour later they keep waking the kids up too",2009-04-06,"Twokids1",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,25,1,0.241935483870968
25,"haha now thats one i do know!","haha now thats one i do know!",2009-04-07,"katdogs",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,4,0.218181818181818
26,"brody my friend","brody my friend",2009-04-06,"djbabyyu",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,3,0.215686274509804
27,"so far i have veiws on all my sites put together most of them were me checking out the updates i made","so far i have veiws on all my sites put together most of them were me checking out the updates i made",2009-04-06,"strifethe3rd",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.210526315789474
28,"i have tried getting you up for yoga and i don't believe it! i'm proud of you","i have tried getting you up for yoga and i don't believe it! i'm proud of you",2009-04-07,"andilulu",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,0,1,FALSE,12.5,1,0.218181818181818
29,"i tried and failed","i tried and failed",2009-04-06,"awolat25",-1,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.211538461538462
30,"yeah too bad people like a certain burrito eating man exist","yeah too bad people like a certain burrito eating man exist",2009-04-06,"Pan_duh",-1,"Negative","Mild Negative","Anger",1,0,1,1,0,1,0,0,FALSE,12.5,3,0.241379310344828
31,"loving life and loving you","loving life and loving you",2009-04-06,"KrystalHolmgren",2,"Positive","Mild Positive","Joy",0,0,0,0,1,0,0,1,FALSE,0,1,0.226415094339623
32,"quot nokla connecting people quot ?? ??????? ???????","quot nokla connecting people quot ?? ??????? ???????",2009-04-06,"rabotkin",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,3,0.226415094339623
33,"added you on nst","added you on nst",2009-04-07,"hhartz",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.215686274509804
34,"that's so sad","that's so sad",2009-04-07,"__Ilse",-1.5,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,FALSE,0,1,0.230769230769231
35,"longing to own a sewing machine! my birthday is too far away!","longing to own a sewing machine! my birthday is too far away!",2009-04-07,"AshleyJaded",0,"Neutral","Neutral","Anticipation",0,2,0,0,1,1,1,1,FALSE,0,5,0.214285714285714
36,"studying with friends! that's my update","studying with friends! that's my update",2009-04-06,"alexistadda",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.222222222222222
37,"good morning! i'm off to the hospital with my dad to spend basically all day in the waiting room just for a two minute app fun fun fun!","good morning! i'm off to the hospital with my dad to spend basically all day in the waiting room just for a two minute app fun fun fun!",2009-04-07,"sophie_1992",1,"Positive","Mild Positive","Anticipation",0,2,0,1,2,1,1,2,FALSE,0,4,0.242424242424242
38,"going to sleep now johnny just died on the oc","going to sleep now johnny just died on the oc",2009-04-07,"mizcupcakekid",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.214285714285714
39,"aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove","aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove",2009-04-06,"WarholGirl",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,12.5,4,0.26984126984127
40,"every bone in my body is aching but it was worth it the prodigy rocked newcastle last night","every bone in my body is aching but it was worth it the prodigy rocked newcastle last night",2009-04-07,"theajp",0,"Neutral","Neutral","Sadness",0,0,0,0,0,1,0,0,FALSE,25,1,0.233333333333333
41,"thanks! i couldn't have done it without you","thanks! i couldn't have done it without you",2009-04-06,"ldshockey",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.222222222222222
42,"oh no owies when will that happen?","oh no owies when will that happen?",2009-04-07,"amyknapp",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,0,2,0.211538461538462
43,"great thank you i might chat with him thanks","great thank you i might chat with him thanks",2009-04-07,"NHBS",1,"Positive","Mild Positive","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.218181818181818
44,"all the photos i try to upload are too big","all the photos i try to upload are too big",2009-04-07,"alanajaynee",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.222222222222222
45,"tried to download tweetdeck but it wont download","tried to download tweetdeck but it wont download",2009-04-06,"teejay0109",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,12.5,2,0.236363636363636
46,"my pleasure! let me know if you end up subbing and what","my pleasure! let me know if you end up subbing and what",2009-04-06,"fozmeadows",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.240740740740741
47,"well in that case you know what i mean hahaha i love a good whatever role you decide to take on","well in that case you know what i mean hahaha i love a good whatever role you decide to take on",2009-04-06,"LTnumber5",2,"Positive","Mild Positive","Joy",0,1,0,1,2,1,1,1,TRUE,25,5,0.229508196721311
48,"needs a hug","needs a hug",2009-04-07,"Kristy92K",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,2,0.211538461538462
49,"passed out last night while mum was puttin cream on my tattoo","passed out last night while mum was puttin cream on my tattoo",2009-04-07,"XStephanieAnneX",0,"Neutral","Neutral","Anticipation",0,1,0,1,1,0,1,0,FALSE,0,2,0.236363636363636
50,"wooohhooo the beach was awsome haha i luve it the water was soooo cold went to seattle to aqui bech or somethin like that p","wooohhooo the beach was awsome haha i luve it the water was soooo cold went to seattle to aqui bech or somethin like that p",2009-04-06,"Ravenged",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,0,FALSE,12.5,1,0.266666666666667
51,"desk up to i think it'll be a flyer!","desk up to i think it'll be a flyer!",2009-04-06,"curly768",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.226415094339623
52,"baha leave it to them to start a fight grr oh well atleast it makes for amazing entertainment","baha leave it to them to start a fight grr oh well atleast it makes for amazing entertainment",2009-04-06,"angielaaa",1,"Positive","Mild Positive","Anticipation",1,2,0,1,1,1,2,1,FALSE,0,3,0.224137931034483
53,"got home after in the end back in for a 9am start aswell","got home after in the end back in for a 9am start aswell",2009-04-07,"S0nicbob",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,0,3,0.232142857142857
54,"00am typical british morning cold wet road full of miserable angry drivers good times! i need a holiday","00am typical british morning cold wet road full of miserable angry drivers good times! i need a holiday",2009-04-07,"visualfission",-1,"Negative","Mild Negative","Anger",2,2,2,0,2,1,1,1,FALSE,0,5,0.238095238095238
55,"hey dougie thought you would be the best one to ask what are some names for lizards i may be getting one i wanted yoda!","hey dougie thought you would be the best one to ask what are some names for lizards i may be getting one i wanted yoda!",2009-04-07,"bubuluey",1,"Positive","Mild Positive","Anticipation",0,1,0,0,0,0,0,0,FALSE,12.5,4,0.262295081967213
56,"i should have paid more attention when we covered photoshop in my webpage design class in undergrad","i should have paid more attention when we covered photoshop in my webpage design class in undergrad",2009-04-06,"RU_it_girl",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.228070175438596
57,"i'm sure if i saw you i'd think you're way little!","i'm sure if i saw you i'd think you're way little!",2009-04-06,"johnhays",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,1,0.232142857142857
58,"even with the best intentions i'm late for work again","even with the best intentions i'm late for work again",2009-04-07,"symee",1,"Positive","Mild Positive","Sadness",0,0,0,0,0,1,0,0,FALSE,12.5,5,0.222222222222222
59,"starting to resent always being struck by creativity after midnight then having to get up for work in the morning","starting to resent always being struck by creativity after midnight then having to get up for work in the morning",2009-04-07,"stephenplynch",0,"Neutral","Neutral","Anger",1,0,0,0,0,0,0,0,FALSE,12.5,2,0.232142857142857
60,"first unc dominated!!!!!!!!!!!!!! second the hills is back hallelujah third econ paper? gaussian copula is def not that deal","first unc dominated!!!!!!!!!!!!!! second the hills is back hallelujah third econ paper? gaussian copula is def not that deal",2009-04-07,"LaLoulou",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,12.5,5,0.216666666666667
61,"fuck i can't sleep","fuck i can't sleep",2009-04-07,"bbrjch",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.226415094339623
62,"injected with office coffee","injected with office coffee",2009-04-06,"IzzyVA",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.211538461538462
63,"u are a true fan and optimist i'll take a winning season mariners","u are a true fan and optimist i'll take a winning season mariners",2009-04-06,"Green4GoodDavid",1,"Positive","Mild Positive","Trust",0,1,1,0,1,1,1,2,FALSE,0,2,0.25
64,"cheer up its our birthday soon","cheer up its our birthday soon",2009-04-06,"aznhothead5",0,"Neutral","Neutral","Anticipation",0,2,0,0,2,0,2,1,FALSE,0,5,0.245283018867925
65,"ha the sun's already gone","ha the sun's already gone",2009-04-06,"MissPassion",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.211538461538462
66,"good morning twitearth!","good morning twitearth!",2009-04-06,"twittevision",1,"Positive","Mild Positive","Anticipation",0,1,0,0,1,0,1,1,FALSE,0,3,0.230769230769231
67,"but then there's all the rest","but then there's all the rest",2009-04-07,"nick_s_drew",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,5,0.211538461538462
68,"i'm going so good without myspace msn and stuff","i'm going so good without myspace msn and stuff",2009-04-06,"tonistack",1.5,"Positive","Mild Positive","Anticipation",0,1,0,0,1,0,1,1,FALSE,0,5,0.214285714285714
69,"coming down with a cold or bad allergies either way i'm miserable!","coming down with a cold or bad allergies either way i'm miserable!",2009-04-06,"Poe4",-1,"Negative","Mild Negative","Anger",2,1,2,1,0,2,0,0,FALSE,0,2,0.263157894736842
70,"being sexy and really happy","being sexy and really happy",2009-04-06,"seanwesleep",1.5,"Positive","Mild Positive","Anticipation",0,1,0,0,1,0,0,1,FALSE,0,4,0.226415094339623
71,"listening to q! i got a really bad headache and a drivin lesson in ten mins lucky me i just wana sleeep!","listening to q! i got a really bad headache and a drivin lesson in ten mins lucky me i just wana sleeep!",2009-04-06,"jameseverton",-1.5,"Negative","Mild Negative","Anger",1,1,1,1,1,1,1,1,FALSE,0,4,0.274193548387097
72,"today was a good day i love good daysss wonder what tomorrow is gunna bring!","today was a good day i love good daysss wonder what tomorrow is gunna bring!",2009-04-06,"SierraaaN",3,"Positive","Mild Positive","Anticipation",0,2,0,0,2,0,1,1,FALSE,0,3,0.220338983050847
73,"fucken a man lol tiring night at work hope to get this job! for got bout the hills dang nabbit lol","fucken a man lol tiring night at work hope to get this job! for got bout the hills dang nabbit lol",2009-04-07,"eddiemunster8",0,"Neutral","Neutral","Anger",1,1,0,0,1,0,1,1,FALSE,12.5,2,0.234375
74,"you're one letter alway! koreans don't use quot x quot so there's no hope for me","you're one letter alway! koreans don't use quot x quot so there's no hope for me",2009-04-06,"steveslee",0,"Neutral","Neutral","Anticipation",0,2,0,0,1,0,1,1,FALSE,12.5,3,0.229508196721311
75,"if i'm working with a company a year after is released and they are still on","if i'm working with a company a year after is released and they are still on",2009-04-07,"mikehadlow",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.218181818181818
76,"oh goody i just have to find a copy!","oh goody i just have to find a copy!",2009-04-06,"jenleereeves",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.226415094339623
77,"heartbroken over little sandra prayers are with the family","heartbroken over little sandra prayers are with the family",2009-04-06,"elohveee",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.236363636363636
78,"did you know what is happening? isa un kodoliga futuralogija","did you know what is happening? isa un kodoliga futuralogija",2009-04-06,"GintsCelmins",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,1,0.230769230769231
79,"not there yet and i beleive so red carpet sighting i hope","not there yet and i beleive so red carpet sighting i hope",2009-04-06,"foxsyd",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,0,5,0.222222222222222
80,"i need coffee lol i saw you tweet this on mcintec net lol it comes up before mibbit mibbit is so slow on twitter it sucks","i need coffee lol i saw you tweet this on mcintec net lol it comes up before mibbit mibbit is so slow on twitter it sucks",2009-04-07,"DCBTV",-1.5,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,1,0.229508196721311
81,"why is it always the fat ones?!","why is it always the fat ones?!",2009-04-06,"ItsBrigittaYo",0,"Neutral","Neutral","Disgust",0,0,1,0,0,1,0,0,FALSE,12.5,1,0.226415094339623
82,"aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove","aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove",2009-04-06,"WarholGirl",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,12.5,4,0.253968253968254
83,"has realized that twitter is getting more attention from her mama then she is hahaha lame!","has realized that twitter is getting more attention from her mama then she is hahaha lame!",2009-04-07,"SkaiKang",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,5,0.245614035087719
84,"going outside to jump on my trampoine wooot!","going outside to jump on my trampoine wooot!",2009-04-06,"_alana",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,0,FALSE,0,3,0.226415094339623
85,"but i wanted a margarita too!","but i wanted a margarita too!",2009-04-06,"Angela004",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,2,0.215686274509804
86,"sad day manu out for the season","sad day manu out for the season",2009-04-06,"Casey_Szulc",-1,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.207547169811321
87,"bro update your twitter link at youtube its twitter com not tweeter com","bro update your twitter link at youtube its twitter com not tweeter com",2009-04-06,"exatic",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.254237288135593
88,"i do have one","i do have one",2009-04-06,"BMUSE",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.215686274509804
89,"solen var inge varm","solen var inge varm",2009-04-07,"joacimhagg",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,0,0
90,"is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back","is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back",2009-04-06,"Arneenxx",0,"Neutral","Neutral","Surprise",0,0,0,0,0,0,1,1,FALSE,0,1,0.258064516129032
91,"ac dc rocked last night back to reality today people without homes and gt dead in italy","ac dc rocked last night back to reality today people without homes and gt dead in italy",2009-04-06,"maximCH",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,4,0.245901639344262
92,"is at work!!! xx","is at work!!! xx",2009-04-07,"XLucySX",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,2,0.215686274509804
93,"morning everyone! in serious need of some decent coffee why isn't the catering open yet at ?","morning everyone! in serious need of some decent coffee why isn't the catering open yet at ?",2009-04-06,"jeffsimons",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,3,0.25
94,"goodmorning! hahaha let me guess cb? hahaha me not","goodmorning! hahaha let me guess cb? hahaha me not",2009-04-07,"Jetske1977",0,"Neutral","Neutral","Surprise",0,0,0,0,0,0,1,0,TRUE,25,5,0.236363636363636
95,"how was the tj dinner tonight? my freezer melted down","how was the tj dinner tonight? my freezer melted down",2009-04-07,"debbiechong",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.226415094339623
96,"same imac came out more in indonesia than the states","same imac came out more in indonesia than the states",2009-04-06,"javajive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.211538461538462
97,"well i like the america ferrera one but that's it","well i like the america ferrera one but that's it",2009-04-07,"inuyaki",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,1,0.236363636363636
98,"when is the announcement? i stayed up late last night","when is the announcement? i stayed up late last night",2009-04-06,"_emmajane_",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,1,0,0,FALSE,0,3,0.222222222222222
99,"is even more irritated to find that the patch doesn't even get released properly until tmrw whats the point of letting you do it now?!","is even more irritated to find that the patch doesn't even get released properly until tmrw whats the point of letting you do it now?!",2009-04-07,"Squishtof",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.222222222222222
100,"i can't wait to read that","i can't wait to read that",2009-04-06,"SherylBreuker",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,0,5,0.207547169811321
101,"gah comcast doubled our cable internet bill w out telling us so we are quitting can anyone suggest an affordable company in bay area?","gah comcast doubled our cable internet bill w out telling us so we are quitting can anyone suggest an affordable company in bay area?",2009-04-06,"noelleee",0,"Neutral","Neutral","Surprise",0,0,0,0,0,0,1,1,FALSE,0,4,0.245901639344262
102,"will jack ever die?! he's defied death more times than i can count dude's got more lives than a cat lol","will jack ever die?! he's defied death more times than i can count dude's got more lives than a cat lol",2009-04-06,"brtlightsphere",0,"Neutral","Neutral","Fear",1,1,1,2,0,2,1,1,FALSE,37.5,3,0.25
103,"back work had a bad start of day almost falling down the stairs not enjoying work yet","back work had a bad start of day almost falling down the stairs not enjoying work yet",2009-04-07,"Nathalie84",1,"Positive","Mild Positive","Anticipation",1,2,1,1,1,2,0,1,FALSE,0,2,0.245901639344262
104,"i had hours of sleep and now i cant go back to sleeping im thirsty","i had hours of sleep and now i cant go back to sleeping im thirsty",2009-04-07,"brittanytastic",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.267857142857143
105,"i don't want to be cold in april but i am","i don't want to be cold in april but i am",2009-04-07,"in_wonderland",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,1,0.240740740740741
106,"going to sleep can't be up until 1am again and no i didn't finish my statistics homework!","going to sleep can't be up until 1am again and no i didn't finish my statistics homework!",2009-04-06,"mf1077",0,"Neutral","Neutral","Fear",0,0,0,1,0,0,0,0,FALSE,12.5,2,0.245614035087719
107,"a new twitter name without telling me? boo by the way i think oberon is dead haven't seen him for ages","a new twitter name without telling me? boo by the way i think oberon is dead haven't seen him for ages",2009-04-07,"pauldthompson",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.241935483870968
108,"oh no!!!!!!!!!!!!! just sent email for state convention may amp there was papyrus all over it sad b c i wanted to attend!","oh no!!!!!!!!!!!!! just sent email for state convention may amp there was papyrus all over it sad b c i wanted to attend!",2009-04-07,"AcmePhoto",-1,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,4,0.254237288135593
109,"misses him right now i need a hug","misses him right now i need a hug",2009-04-06,"loveeyuu_x",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,4,0.218181818181818
110,"good for you becca have a good sleep","good for you becca have a good sleep",2009-04-06,"Killandra",2,"Positive","Mild Positive","Anticipation",0,1,0,0,1,0,1,1,FALSE,0,3,0.226415094339623
111,"a fair goodnight sweet twitters have pleasing dreams and a restful slumber","a fair goodnight sweet twitters have pleasing dreams and a restful slumber",2009-04-06,"Julianna237",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,0,3,0.218181818181818
112,"finished making chocolates and feet really hurt","finished making chocolates and feet really hurt",2009-04-07,"Elle_Smile",-1.5,"Negative","Mild Negative","Anger",1,0,0,1,0,1,0,0,FALSE,0,4,0.254545454545455
113,"nope baby's due in 5th may! getting closer but still things not done","nope baby's due in 5th may! getting closer but still things not done",2009-04-06,"m0on7chiLd",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,5,0.206896551724138
114,"nah obama had unc as his champ izzo should get a billion bonus!","nah obama had unc as his champ izzo should get a billion bonus!",2009-04-07,"haveyoumettony",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,0,FALSE,0,5,0.214285714285714
115,"attempting to leave amp cross the int'l dateline the day before my birthday so i skip it completely this year i stay at this age again!!","attempting to leave amp cross the int'l dateline the day before my birthday so i skip it completely this year i stay at this age again!!",2009-04-06,"stefsull",0,"Neutral","Neutral","Sadness",1,1,0,1,1,2,2,0,FALSE,25,5,0.216666666666667
116,"just saw sunshine cleaning i love amy adams","just saw sunshine cleaning i love amy adams",2009-04-06,"MorganLeigh19",1,"Positive","Mild Positive","Joy",0,0,0,0,2,0,0,0,FALSE,0,2,0.214285714285714
117,"thank you sexxy flower take your time happy sleeps and wet dreams luv ya babe!!!!","thank you sexxy flower take your time happy sleeps and wet dreams luv ya babe!!!!",2009-04-06,"sexxxyback",1,"Positive","Mild Positive","Anticipation",0,2,0,0,1,0,0,1,FALSE,12.5,5,0.216666666666667
118,"de moment em queden temporades de the wire i vaig a comen ar amb mad men","de moment em queden temporades de the wire i vaig a comen ar amb mad men",2009-04-07,"desficioset",0,"Neutral","Neutral","Anger",1,0,1,1,0,1,0,0,FALSE,0,5,0.207547169811321
119,"wikipedia has gone forever! see what the goverment do its there fualt lets hope donations or something bring it back !!","wikipedia has gone forever! see what the goverment do its there fualt lets hope donations or something bring it back !!",2009-04-07,"jamesisapc",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,1,1,FALSE,25,5,0.206896551724138
120,"set up my twitter account!","set up my twitter account!",2009-04-07,"ballerobica",0,"Neutral","Neutral","Trust",0,0,0,0,0,0,0,1,FALSE,0,5,0.245283018867925
121,"finally going to bed! so tired was gonna watch the hills but didnt","finally going to bed! so tired was gonna watch the hills but didnt",2009-04-06,"kristenwolf",1.5,"Positive","Mild Positive","Anticipation",0,2,1,1,1,0,1,1,FALSE,12.5,3,0.258620689655172
122,"not liking being back at work this morning","not liking being back at work this morning",2009-04-07,"chrissnelling",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,1,0.222222222222222
123,"que me muera ?","que me muera ?",2009-04-06,"mimismo",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,1,0.215686274509804
