"id","date","user","source","original_text","text","ground_truth","final_sentiment","sentiment_score","polarity","intensity","dominant_emotion","emotion_intensity","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","is_sarcasm","sarcasm_label","sarcasm_confidence"
21,2009-04-06,"misstoriblack","Sentiment140","Just added tweetie to my new iPhone ","just added tweetie to my new iphone","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
22,2009-04-07,"NeilFairburn","Sentiment140","Another day in work and life. Is it a pigeon day today ? or a statue day ? or neither?  hoping for calm neither day i think ","another day in work and life is it a pigeon day today ? or a statue day ? or neither? hoping for calm neither day i think","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
23,2009-04-06,"xll00llx","Sentiment140","Uh oh... I think I am getting sick ","uh oh i think i am getting sick","Negative","Negative",0,"Neutral","Neutral","Disgust",2,0,0,1,0,0,1,0,0,FALSE,"Non-Sarcastic",0
24,2009-04-06,"ConstanceClark","Sentiment140","@MarcusMims wow i didn't get an &quot;hello&quot; u suck ","wow i didn't get an quot hello quot u suck","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
25,2009-04-06,"Twokids1","Sentiment140","@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too","lol wish they understood daylight savings has ended though and breakfast is an hour later they keep waking the kids up too","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",25
26,2009-04-07,"katdogs","Sentiment140","@MTsiaklides haha now thats one I DO know! ","haha now thats one i do know!","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
27,2009-04-06,"djbabyyu","Sentiment140","@janicerose brody my friend ","brody my friend","Positive","Positive",0,"Neutral","Neutral","Joy",2,0,0,0,0,1,0,0,1,FALSE,"Non-Sarcastic",0
28,2009-04-06,"strifethe3rd","Sentiment140","so far i have 311 veiws on all my sites put together,  most of them were me checking out the updates i made......","so far i have veiws on all my sites put together most of them were me checking out the updates i made","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
29,2009-04-07,"andilulu","Sentiment140","@tinylittlebear I have tried getting you up for yoga and I don't believe it!  I'm proud of you ","i have tried getting you up for yoga and i don't believe it! i'm proud of you","Positive","Positive",0,"Neutral","Neutral","Anticipation",3,0,1,0,0,1,0,0,1,FALSE,"Non-Sarcastic",12.5
30,2009-04-06,"awolat25","Sentiment140","@gotobekiddingme I tried.....and failed ","i tried and failed","Negative","Negative",-1,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
31,2009-04-06,"Pan_duh","Sentiment140","@rootbeersoup Yeah. Too bad people like a certain burrito-eating man exist. ","yeah too bad people like a certain burrito eating man exist","Negative","Negative",-1,"Negative","Mild Negative","Anger",4,1,0,1,1,0,1,0,0,FALSE,"Non-Sarcastic",12.5
32,2009-04-06,"KrystalHolmgren","Sentiment140","loving life... and loving you ","loving life and loving you","Positive","Positive",2,"Positive","Mild Positive","Joy",2,0,0,0,0,1,0,0,1,FALSE,"Non-Sarcastic",0
33,2009-04-06,"rabotkin","Sentiment140","@shipovalov &quot;NOKLA connecting people&quot; ?? ???????  ??????? ","quot nokla connecting people quot ?? ??????? ???????","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",25
34,2009-04-07,"hhartz","Sentiment140","@thusgaard added you on NST ","added you on nst","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
35,2009-04-07,"__Ilse","Sentiment140","@shelikescute that's so sad ","that's so sad","Negative","Negative",-1.5,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
36,2009-04-07,"AshleyJaded","Sentiment140","Longing to own a sewing machine! My Birthday is too far away! ","longing to own a sewing machine! my birthday is too far away!","Negative","Negative",0,"Neutral","Neutral","Anticipation",6,0,2,0,0,1,1,1,1,FALSE,"Non-Sarcastic",0
37,2009-04-06,"alexistadda","Sentiment140","Studying with friends!  that's my update","studying with friends! that's my update","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
38,2009-04-07,"sophie_1992","Sentiment140","good morning! i'm off to the hospital with my dad to spend basically all day in the waiting room just for a two minute app fun fun fun! ","good morning! i'm off to the hospital with my dad to spend basically all day in the waiting room just for a two minute app fun fun fun!","Negative","Negative",1,"Positive","Mild Positive","Anticipation",9,0,2,0,1,2,1,1,2,FALSE,"Non-Sarcastic",0
39,2009-04-07,"mizcupcakekid","Sentiment140","Going to sleep now. Johnny just died on the OC. ","going to sleep now johnny just died on the oc","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
40,2009-04-06,"WarholGirl","Sentiment140","@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:","aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove","Positive","Positive",0,"Neutral","Neutral","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",25
41,2009-04-07,"theajp","Sentiment140","Every bone in my body is aching but it was worth it ...The Prodigy rocked newcastle last night ","every bone in my body is aching but it was worth it the prodigy rocked newcastle last night","Positive","Positive",0,"Neutral","Neutral","Sadness",1,0,0,0,0,0,1,0,0,FALSE,"Non-Sarcastic",25
42,2009-04-06,"ldshockey","Sentiment140","@amandahesser thanks!  i couldn't have done it without you  ","thanks! i couldn't have done it without you","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
43,2009-04-07,"amyknapp","Sentiment140","@annemarike oh no  owies, when will that happen? ","oh no owies when will that happen?","Negative","Negative",0,"Neutral","Neutral","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
44,2009-04-07,"NHBS","Sentiment140","@suehenry Great thank you I might chat with him. Thanks ","great thank you i might chat with him thanks","Positive","Positive",1,"Positive","Mild Positive","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
45,2009-04-07,"alanajaynee","Sentiment140","all the photos i try to upload are too big ","all the photos i try to upload are too big","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
46,2009-04-06,"teejay0109","Sentiment140","tried to download tweetdeck but it wont download ","tried to download tweetdeck but it wont download","Negative","Negative",0,"Neutral","Neutral","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
47,2009-04-06,"fozmeadows","Sentiment140","@Eeoor - My pleasure! Let me know if you end up subbing, and what ","my pleasure! let me know if you end up subbing and what","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
48,2009-04-06,"LTnumber5","Sentiment140","well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. ","well in that case you know what i mean hahaha i love a good whatever role you decide to take on","Positive","Negative",2,"Positive","Mild Positive","Joy",7,0,1,0,1,2,1,1,1,TRUE,"Sarcastic",25
49,2009-04-07,"Kristy92K","Sentiment140","needs a hug ","needs a hug","Negative","Negative",0,"Neutral","Neutral","Joy",2,0,0,0,0,1,0,0,1,FALSE,"Non-Sarcastic",0
50,2009-04-07,"XStephanieAnneX","Sentiment140","Passed out last night while mum was puttin cream on my.tattoo ","passed out last night while mum was puttin cream on my tattoo","Negative","Negative",0,"Neutral","Neutral","Anticipation",4,0,1,0,1,1,0,1,0,FALSE,"Non-Sarcastic",0
51,2009-04-06,"Ravenged","Sentiment140","Wooohhooo the beach was awsome  .. haha i luve ..it The water was soooo cold .. went to seattle to Aqui bech or somethin like that =P","wooohhooo the beach was awsome haha i luve it the water was soooo cold went to seattle to aqui bech or somethin like that p","Positive","Positive",0,"Neutral","Neutral","Joy",1,0,0,0,0,1,0,0,0,FALSE,"Non-Sarcastic",12.5
52,2009-04-06,"curly768","Sentiment140","Desk up to �1.24. I think it'll be a flyer! ","desk up to i think it'll be a flyer!","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
53,2009-04-06,"angielaaa","Sentiment140","@Skiddybabyyy baha. leave it to them to start a fight ,, grr, oh well atleast it makes for amazing entertainment ","baha leave it to them to start a fight grr oh well atleast it makes for amazing entertainment","Positive","Positive",1,"Positive","Mild Positive","Anticipation",9,1,2,0,1,1,1,2,1,FALSE,"Non-Sarcastic",0
54,2009-04-07,"S0nicbob","Sentiment140","@azraeel Got home after 10 in the end, back in for a 9am start aswell ","got home after in the end back in for a 9am start aswell","Negative","Negative",0,"Neutral","Neutral","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
55,2009-04-07,"visualfission","Sentiment140","8:00am typical British morning. Cold, wet, road full of miserable angry drivers..... good times! I need a holiday ","00am typical british morning cold wet road full of miserable angry drivers good times! i need a holiday","Negative","Negative",-1,"Negative","Mild Negative","Anger",11,2,2,2,0,2,1,1,1,FALSE,"Non-Sarcastic",0
56,2009-04-07,"bubuluey","Sentiment140","@dougiemcfly hey dougie  thought you would be the best one to ask... what are some names for lizards. i may be getting one, i wanted YODA!","hey dougie thought you would be the best one to ask what are some names for lizards i may be getting one i wanted yoda!","Positive","Positive",1,"Positive","Mild Positive","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",25
57,2009-04-06,"RU_it_girl","Sentiment140","@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ","i should have paid more attention when we covered photoshop in my webpage design class in undergrad","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
58,2009-04-06,"johnhays","Sentiment140","@realchrissystar I'm sure if I saw you I'd think you're way little! ","i'm sure if i saw you i'd think you're way little!","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
59,2009-04-07,"symee","Sentiment140","Even with the best intentions i'm late for work again ","even with the best intentions i'm late for work again","Negative","Negative",1,"Positive","Mild Positive","Sadness",1,0,0,0,0,0,1,0,0,FALSE,"Non-Sarcastic",12.5
60,2009-04-07,"stephenplynch","Sentiment140","starting to resent always being struck by creativity after midnight, then having to get up for work in the morning ","starting to resent always being struck by creativity after midnight then having to get up for work in the morning","Negative","Negative",0,"Neutral","Neutral","Anger",1,1,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
61,2009-04-07,"LaLoulou","Sentiment140","first: UNC DOMINATED!!!!!!!!!!!!!!. second: the hills is back (hallelujah). third: econ paper? gaussian copula is def. NOT that deal ","first unc dominated!!!!!!!!!!!!!! second the hills is back hallelujah third econ paper? gaussian copula is def not that deal","Negative","Negative",0,"Neutral","Neutral","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",25
62,2009-04-07,"bbrjch","Sentiment140","FUCK....I CAN'T SLEEP ","fuck i can't sleep","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
63,2009-04-06,"IzzyVA","Sentiment140","injected with office coffee ","injected with office coffee","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
64,2009-04-06,"Green4GoodDavid","Sentiment140","@TheNewsChick u are a true fan (and optimist). i'll take a winning season   #Mariners","u are a true fan and optimist i'll take a winning season mariners","Positive","Positive",1,"Positive","Mild Positive","Trust",7,0,1,1,0,1,1,1,2,FALSE,"Non-Sarcastic",0
65,2009-04-06,"aznhothead5","Sentiment140","@derangedangel cheer up its our birthday soon ","cheer up its our birthday soon","Positive","Positive",0,"Neutral","Neutral","Anticipation",7,0,2,0,0,2,0,2,1,FALSE,"Non-Sarcastic",0
66,2009-04-06,"MissPassion","Sentiment140","@thecoolestout Ha the sun's already gone ","ha the sun's already gone","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
67,2009-04-06,"twittevision","Sentiment140","Good Morning TwitEarth! ","good morning twitearth!","Positive","Positive",1,"Positive","Mild Positive","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",0
68,2009-04-07,"nick_s_drew","Sentiment140","But then there's all the rest. ","but then there's all the rest","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
69,2009-04-06,"tonistack","Sentiment140","I'm going so good without myspace, msn and stuff ","i'm going so good without myspace msn and stuff","Positive","Positive",1.5,"Positive","Mild Positive","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",0
70,2009-04-06,"Poe4","Sentiment140","Coming down with a cold or bad allergies. Either way, I'm miserable! ","coming down with a cold or bad allergies either way i'm miserable!","Negative","Negative",-1,"Negative","Mild Negative","Anger",8,2,1,2,1,0,2,0,0,FALSE,"Non-Sarcastic",0
71,2009-04-06,"seanwesleep","Sentiment140","being sexy and really happy ","being sexy and really happy","Positive","Positive",1.5,"Positive","Mild Positive","Anticipation",3,0,1,0,0,1,0,0,1,FALSE,"Non-Sarcastic",0
72,2009-04-06,"jameseverton","Sentiment140","Listening to Q! I got a really bad headache and a drivin lesson in ten mins.... Lucky me  i just wana sleeep!  ","listening to q! i got a really bad headache and a drivin lesson in ten mins lucky me i just wana sleeep!","Negative","Negative",-1.5,"Negative","Mild Negative","Anger",8,1,1,1,1,1,1,1,1,FALSE,"Non-Sarcastic",0
73,2009-04-06,"SierraaaN","Sentiment140","today was a good day, I love good daysss  wonder what tomorrow is gunna bring!","today was a good day i love good daysss wonder what tomorrow is gunna bring!","Positive","Positive",3,"Positive","Mild Positive","Anticipation",6,0,2,0,0,2,0,1,1,FALSE,"Non-Sarcastic",0
74,2009-04-07,"eddiemunster8","Sentiment140","fucken a man lol. tiring night at work. hope to get this job! for got bout the hills  dang nabbit lol.. ","fucken a man lol tiring night at work hope to get this job! for got bout the hills dang nabbit lol","Negative","Negative",0,"Neutral","Neutral","Anger",5,1,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",12.5
75,2009-04-06,"steveslee","Sentiment140","@gordonchiu You're one letter alway!    Koreans don't use &quot;X&quot; so there's no hope for me. ","you're one letter alway! koreans don't use quot x quot so there's no hope for me","Negative","Negative",0,"Neutral","Neutral","Anticipation",5,0,2,0,0,1,0,1,1,FALSE,"Non-Sarcastic",12.5
76,2009-04-07,"mikehadlow","Sentiment140","@hammett if I'm working with a company a year after 4.0 is released and they are still on 3.0 ","if i'm working with a company a year after is released and they are still on","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
77,2009-04-06,"jenleereeves","Sentiment140","@markjarvis oh goody. i just have to find a copy! ","oh goody i just have to find a copy!","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
78,2009-04-06,"elohveee","Sentiment140","heartbroken over little sandra. prayers are with the family. ","heartbroken over little sandra prayers are with the family","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
79,2009-04-06,"GintsCelmins","Sentiment140","Did You Know what is happening? - http://www.youtube.com/watch?v=IUEhASXb8EM isa un kodoliga futuralogija ","did you know what is happening? isa un kodoliga futuralogija","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
80,2009-04-06,"foxsyd","Sentiment140","@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.","not there yet and i beleive so red carpet sighting i hope","Positive","Positive",0,"Neutral","Neutral","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",0
81,2009-04-07,"DCBTV","Sentiment140","@TXBrad I need Coffee, lol, I saw you tweet this on McInTEC Net lol  it comes up before Mibbit, Mibbit is so slow on Twitter, it sucks ","i need coffee lol i saw you tweet this on mcintec net lol it comes up before mibbit mibbit is so slow on twitter it sucks","Negative","Negative",-1.5,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
82,2009-04-06,"ItsBrigittaYo","Sentiment140","why is it always the fat ones?! ","why is it always the fat ones?!","Negative","Negative",0,"Neutral","Neutral","Disgust",2,0,0,1,0,0,1,0,0,FALSE,"Non-Sarcastic",12.5
83,2009-04-06,"WarholGirl","Sentiment140","@ientje89 aw i'm fine too thanks! yeah i miss you so much on the MFC  but hope we can talk later on today  kisses :huglove:","aw i'm fine too thanks! yeah i miss you so much on the mfc but hope we can talk later on today kisses huglove","Negative","Negative",0,"Neutral","Neutral","Anticipation",4,0,1,0,0,1,0,1,1,FALSE,"Non-Sarcastic",25
84,2009-04-07,"SkaiKang","Sentiment140","has realized that twitter is getting more attention from her mama then she is....hahaha  LAME!","has realized that twitter is getting more attention from her mama then she is hahaha lame!","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",25
85,2009-04-06,"_alana","Sentiment140","going outside to jump on my trampoine  WOOOT!","going outside to jump on my trampoine wooot!","Positive","Positive",0,"Neutral","Neutral","Joy",1,0,0,0,0,1,0,0,0,FALSE,"Non-Sarcastic",12.5
86,2009-04-06,"Angela004","Sentiment140","@ashleyskyy but I wanted a margarita too! ","but i wanted a margarita too!","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
87,2009-04-06,"Casey_Szulc","Sentiment140","sad day: manu out for the season ","sad day manu out for the season","Negative","Negative",-1,"Negative","Mild Negative","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
88,2009-04-06,"exatic","Sentiment140","@ummahfilms bro update your twitter link at youtube, its twitter.com not tweeter.com ","bro update your twitter link at youtube its twitter com not tweeter com","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
89,2009-04-06,"BMUSE","Sentiment140","@beanXcore i do have one ","i do have one","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
90,2009-04-07,"joacimhagg","Sentiment140","@theresev solen var inge varm ","solen var inge varm","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
91,2009-04-06,"Arneenxx","Sentiment140","Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ","is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back","Negative","Negative",0,"Neutral","Neutral","Surprise",2,0,0,0,0,0,0,1,1,FALSE,"Non-Sarcastic",0
92,2009-04-06,"maximCH","Sentiment140","AC/DC rocked last night. Back to reality today.  70000 people without homes and &gt;150 dead in Italy ","ac dc rocked last night back to reality today people without homes and gt dead in italy","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
93,2009-04-07,"XLucySX","Sentiment140","is at work!!!  xx","is at work!!! xx","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
94,2009-04-06,"jeffsimons","Sentiment140","Morning everyone! In serious need of some decent coffee.. why isn't the catering open yet at 08.30? ","morning everyone! in serious need of some decent coffee why isn't the catering open yet at ?","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
95,2009-04-07,"Jetske1977","Sentiment140","@eri74 Goodmorning!  hahaha, let me guess .... CB? hahaha me not ","goodmorning! hahaha let me guess cb? hahaha me not","Negative","Negative",0,"Neutral","Neutral","Surprise",1,0,0,0,0,0,0,1,0,FALSE,"Non-Sarcastic",12.5
96,2009-04-07,"debbiechong","Sentiment140","@KateriH How was the TJ dinner tonight? My freezer melted down. ","how was the tj dinner tonight? my freezer melted down","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
97,2009-04-06,"javajive","Sentiment140","@pratama Same iMac came out $320 more in Indonesia than the States. ","same imac came out more in indonesia than the states","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
98,2009-04-07,"inuyaki","Sentiment140","@3ND14P3 Well, I like the America Ferrera one...but that's it. ","well i like the america ferrera one but that's it","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
99,2009-04-06,"_emmajane_","Sentiment140","@OfficialRandL when is the announcement? i stayed up late last night ","when is the announcement? i stayed up late last night","Negative","Negative",0,"Neutral","Neutral","Anticipation",2,0,1,0,0,0,1,0,0,FALSE,"Non-Sarcastic",0
100,2009-04-07,"Squishtof","Sentiment140","is even more irritated to find that the patch doesn't even get released properly until tmrw.. whats the point of letting you do it now?! ","is even more irritated to find that the patch doesn't even get released properly until tmrw whats the point of letting you do it now?!","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
101,2009-04-06,"SherylBreuker","Sentiment140","@PhoneBoy I can't wait to read that. ","i can't wait to read that","Positive","Positive",0,"Neutral","Neutral","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
102,2009-04-06,"noelleee","Sentiment140","Gah, Comcast doubled our cable/internet bill w/out telling us, so we are quitting.  Can anyone suggest an affordable company in bay area?","gah comcast doubled our cable internet bill w out telling us so we are quitting can anyone suggest an affordable company in bay area?","Negative","Negative",0,"Neutral","Neutral","Surprise",2,0,0,0,0,0,0,1,1,FALSE,"Non-Sarcastic",0
